Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1396022400,40,31.6,26.1,25.4,24.6,27,24.7,40.3,41.1,65.4,57.4,68.6,63.5,71.8,68,77.9,66.3,87.6,73.9,86.6,83.7,90.7,62.8,47.3
1396108800,35.3,36.1,29.1,26.1,28.1,30.9,23.8,35.5,44.5,66.1,63.9,72.2,69.4,68.5,86.6,87.7,78.8,74.8,72.8,89.2,91.9,82.9,55.5,55.2
1396195200,35.9,29.2,27,25.2,28.5,25.6,30.9,39.9,42.4,60.9,63.1,71.3,60.4,62.2,61,56.8,60.6,68.8,73.8,89.1,85,85.1,71,48.6
1396281600,33.6,28.9,28.1,24.4,25.1,27,33.9,38.3,47.9,58.7,64.1,56.7,50.1,59.9,56.4,58.6,55.5,61.9,56.8,85.5,88.2,84,60.9,47.8
1396368000,28.9,27.6,25.9,25.7,28.8,31.2,30,36.3,46.5,66.1,57.1,70.6,66.3,54,64.3,58.7,69.5,71.7,74.7,81.9,93.8,91.8,67.2,59
1396454400,41.1,34.6,29.4,25.8,22.7,29.9,31.4,29.7,52.3,66.5,61.5,63.1,64.5,57.1,67.1,63,66.3,64.4,65.4,83.9,96.4,91.8,68.6,55.7
1396540800,41.6,33.3,28.6,24.5,28.7,26.6,22.1,37,66.6,66.5,64.7,61.6,63.6,64.6,58.1,63.7,67,68.1,84.6,96.2,97.6,96.1,78.4,65.9
1396627200,35.7,34.5,35.2,31.1,27.6,30.4,25.5,33.5,56.7,77.7,72.6,64.9,65.6,71.1,80.6,80.9,79.8,77.1,60.7,92.3,95.3,85.8,63.1,47.7
1396713600,32.6,30.7,28.7,26.1,27.8,28.5,22.9,41.7,59.1,73.8,61.3,82.7,78.8,79.8,76.1,69.2,84.1,89.9,76.7,95.5,95.3,95.8,70.8,45.6
1396800000,36.1,28.3,28,23.2,25.2,27.2,23.6,36.8,51.2,62.7,57.6,66.2,70.2,56.6,76,73.4,71.2,70.6,73.4,97.9,97,89.1,75.2,41.4
1396886400,35.4,25.6,25.1,21.6,21.6,28.1,30.3,30.4,54.5,72,63.4,74.5,64.2,63.8,60,76.2,69.8,79.2,76.2,90.8,98.4,82.7,66.2,47.4
